,Kennung,Name,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
249,07020202,Volkspark (Rud.-Wilde-Park),5.8,6.01,6.59,6.88,7.5,7.39,7.21,7.07,7.5,7.41,7.96,7.72,8.31
250,07020203,Kaiser-Wilhelm-Platz,10.24,10.67,11.77,10.12,10.73,11.63,12.01,13.12,13.36,14.38,14.27,14.24,13.67
251,07020204,Schöneberger Insel,7.21,8.16,7.42,6.67,7.56,8.32,9.89,10.94,10.67,10.88,11.27,11.34,11.89
252,07030301,Friedenau,3.19,3.51,3.64,3.71,3.74,4.04,4.28,4.46,4.74,4.65,4.41,4.49,4.52
253,07030302,Ceciliengärten,3.15,3.25,3.47,3.44,3.78,3.98,4.24,4.48,4.86,4.63,4.89,4.59,4.7
254,07030303,Grazer Platz,5.02,5.26,6.01,6.28,6.49,6.85,7.15,7.67,7.09,7.65,7.81,8.24,8.04
255,07040401,Neu-Tempelhof,3.08,3.32,3.54,3.82,4.22,4.89,4.87,4.98,5.45,5.82,6.17,6.6,7.14
256,07040402,Lindenhofsiedlung,3.66,5.58,5.84,5.3,5.18,5.83,5.87,6.33,5.56,7.09,6.93,6.27,6.19
257,07040403,Manteuffelstr.,3.67,4.19,4.83,4.62,4.76,5.32,5.72,6.17,5.98,6.77,6.88,7.19,7.22
258,07040404,Marienhöhe,3.91,3.89,4.31,3.75,4.15,4.18,4.46,4.91,5.37,5.72,5.15,5.52,5.67
259,07040405,Rathaus Tempelhof,3.36,3.72,3.81,3.49,3.88,3.52,4.22,4.78,4.69,5.34,5.45,5.89,6.61
260,07040406,Germaniagarten,10.38,11.75,12.56,11.41,13.33,16.12,15.09,17.35,17.36,19.5,18.29,17.19,18.49
261,07050501,Rathausstr.,4.18,4.36,4.49,4.46,4.6,5.34,5.5,6.23,5.86,6.43,6.96,7.24,7.6
262,07050502,Fritz-Werner-Str.,1.37,1.78,1.76,1.97,2.26,2.48,2.83,3.18,3.32,3.8,3.98,3.58,3.87
263,07050503,Eisenacher Str.,2.33,2.57,3.05,2.51,3.14,3.31,3.87,4.34,4.25,4.67,4.99,5.41,5.42
264,07050504,Imbrosweg,3.51,3.35,3.54,3.03,3.57,4.14,4.7,5.1,4.6,4.78,4.95,5.04,5.21
265,07050505,Hundsteinweg,2.5,2.56,2.38,2.4,2.36,2.66,2.52,2.7,2.64,2.73,2.87,3.13,2.78
266,07050506,Birnhornweg,0.61,0.78,0.92,0.9,1.39,1.22,0.85,1.02,null,0.96,0.96,1.08,1.23
267,07060601,Marienfelder Allee Nordwest,4.31,4.32,4.15,4.49,4.65,4.76,5.19,5.36,5.02,5.72,5.72,5.47,5.86
268,07060602,Kirchstr.,1.09,1.35,1.97,1.58,1.4,1.21,1.62,1.77,1.71,2.35,2.59,2.46,2.35
269,07060603,Marienfelde Nordost,0.72,0.94,0.77,1.01,1.2,1.23,1.17,1.6,1.66,1.78,1.67,1.88,1.9
270,07060604,Marienfelde Süd,4.0,4.27,4.71,5.54,5.32,5.25,5.47,5.7,5.76,6.36,6.43,6.73,7.37
271,07070701,Kettinger Str./Schillerstr.,1.19,1.3,1.47,1.48,1.54,1.78,1.89,2.02,1.8,1.99,1.83,1.71,1.95
272,07070702,Alt-Lichtenrade/Töpch. Weg,1.93,2.14,1.91,2.49,2.49,2.61,2.61,3.01,2.59,2.87,3.02,3.2,3.43
273,07070703,John-Locke-Str.,3.68,3.79,4.0,4.03,3.96,4.13,4.69,5.05,5.25,5.6,5.36,5.62,5.7
274,07070704,Nahariyastr.,6.95,7.43,7.35,6.42,6.59,6.91,7.0,7.01,7.19,7.63,8.24,8.76,8.26
275,07070705,Franziusweg/ Rohrbachstr.,0.99,0.93,1.21,0.97,1.14,1.35,1.5,1.17,1.12,1.68,1.67,1.8,1.81
276,07070706,Horstwald. Str./Paplitzer Str.,1.46,1.77,1.74,1.6,1.16,1.33,1.23,1.6,1.58,1.48,1.55,1.44,1.5
277,07070707,Wittelsbacherstr.,0.98,0.59,0.68,0.68,0.34,0.64,0.6,0.47,null,0.68,0.67,0.79,1.01
278,08010115,Hasenheide,null,null,null,null,null,null,null,null,null,null,null,null,null
279,08010116,Wissmannstraße,22.06,23.6,23.15,23.15,24.35,26.4,26.63,29.86,28.02,29.25,29.7,29.67,29.34
280,08010117,Schillerpromenade,12.16,12.84,14.18,14.61,15.31,16.6,17.23,19.31,18.15,20.86,22.21,22.35,22.34
281,08010118,Silbersteinstraße,10.35,9.75,10.33,10.7,10.44,11.5,13.03,13.38,13.89,15.23,15.9,15.55,16.49
282,08010211,Flughafenstraße,14.22,13.94,12.93,15.34,17.15,18.55,18.93,20.32,18.11,20.75,21.41,22.22,21.57
283,08010212,Rollberg,17.18,17.76,18.97,19.44,19.17,20.57,20.18,22.47,22.04,23.29,22.6,23.08,23.0
284,08010213,Körnerpark,11.8,12.41,13.43,12.84,12.73,12.32,14.76,16.29,16.36,18.23,19.48,19.13,19.46
285,08010214,Glasower Straße,6.72,6.76,8.08,10.4,11.35,11.1,12.36,13.43,13.96,14.94,15.21,15.48,16.43
286,08010301,Reuterkiez,9.89,10.32,11.21,11.28,11.99,12.35,14.11,15.15,15.85,16.64,17.12,17.64,17.03
287,08010302,Bouchéstraße,4.93,5.92,6.47,5.43,5.52,6.36,7.44,8.51,8.68,8.66,8.16,9.26,10.37
288,08010303,Donaustraße,13.34,14.6,16.39,16.64,18.54,21.13,20.23,21.18,23.31,25.35,25.27,25.45,27.2
289,08010404,Rixdorf,10.08,9.8,10.46,11.52,13.03,14.19,15.39,16.02,15.65,17.86,17.97,18.22,17.53
